Name,Address,City,State,Postal_Code,Website,Phone,Email_Address,urls,category_informational,
"Tranquility Day Spa - Olympus Cove - Salt Lake City, UT",3949 Wasatch Blvd,,,,,(801) 272-8188,,http://www.yelp.com/biz/tranquility-day-spa-salt-lake-city?osq=spa,"Spas,Tanning",
"The Pampering Place - Murray - Salt Lake City, UT","625 W 5300 S,Ste Cmurray",,,,,(801) 288-9335,,http://www.yelp.com/biz/the-pampering-place-salt-lake-city?osq=spa,Spas,
"Advanced Laser & Medical Aesthetics - Bountiful - Bountiful, UT",469 Medical Dr,,,,,(801) 397-9709,,http://www.yelp.com/biz/advanced-laser-and-medical-aesthetics-bountiful?osq=spa,"Gym,Spas",
"Trubella - Murray - Salt Lake City, UT",348 E 4500 S Ste 250,,,,,(801) 747-7274,,http://www.yelp.com/biz/trubella-salt-lake-city?osq=spa,Day Spas,
"Awakenings Salon and Spa - East Millcreek - Salt Lake City, UT",1648 E 3300 S,,,,,(801) 466-1020,,http://www.yelp.com/biz/awakenings-salon-and-spa-salt-lake-city?osq=spa,Day Spas,
"Arvo International - Millcreek - Salt Lake City, UT",3350 Highland Dr,,,,,(801) 484-0574,,http://www.yelp.com/biz/arvo-international-salt-lake-city-2?osq=spa,"Hair Removal,Day Spas",
"CC Nails and Spa - South Jordan - South Jordan, UT",10384 River Heights Dr,,,,,(801) 254-7099,,http://www.yelp.com/biz/cc-nails-and-spa-south-jordan?osq=spa,"Nail Salon,Waxing,Spas",
"Essence Studio and Day Spa - Draper - Draper, UT","12197 S Draper Gate Dr,Unit B",,,,,(801) 619-7199,,http://www.yelp.com/biz/essence-studio-and-day-spa-draper?osq=spa,"Hair Salons,Day Spas",
"I SPA - West Valley City - Salt Lake City, UT","3451 S 5600 W,Ste E",,,,,(801) 967-2323,,http://www.yelp.com/biz/i-spa-salt-lake-city-2?osq=spa,"Massage,Day Spas",
"Orchard Cottage - Bountiful - North Salt Lake, UT",3521 Orchard Dr,,,,,(801) 292-0355,,http://www.yelp.com/biz/orchard-cottage-north-salt-lake?osq=spa,Day Spas,
"The Man Spa - Woods Cross - Woods Cross, UT","1568 S 500 W,Ste 101",,,,,(801) 888-6900,,http://www.yelp.com/biz/the-man-spa-woods-cross?osq=spa,Spas,
"Abbie’s Esthetics - Midvale - Midvale, UT",99 E 7200 S,,,,,(801) 577-9226,,http://www.yelp.com/biz/abbies-esthetics-midvale-3?osq=spa,"Day Spas,Skin Care,Eyelash Service",
"Blu Poppy - Sandy - Sandy, UT",686 E 8400 S,,,,,,,http://www.yelp.com/biz/blu-poppy-sandy?osq=spa,"Spas,Waxing,Nail Salon",
"All Around the Town Massage - West Valley City - Salt Lake City, UT","1918 W 4100 S,Ste 105",,,,,(801) 904-2462,,http://www.yelp.com/biz/all-around-the-town-massage-salt-lake-city-3?osq=spa,"Day Spas,Massage",
"Images Total Hair and Body Salon - Salt Lake City - Salt Lake City, UT",2627 Parleys Way,,,,,(801) 463-1927,,http://www.yelp.com/biz/images-total-hair-and-body-salon-salt-lake-city?osq=spa,"Hair Salons,Day Spas",
"Soul Expressions Salon - Salt Lake City - Salt Lake City, UT",2273 S Highland Dr,,,,,(801) 467-9130,,http://www.yelp.com/biz/soul-expressions-salon-salt-lake-city?osq=spa,Spas,
"Jul Box - Salt Lake City - Salt Lake City, UT",624 Warnock Ave,,,,,(801) 368-4264,,http://www.yelp.com/biz/jul-box-salt-lake-city?osq=spa,"Skin Care,Day Spas",
"Studio112 Lashes & Skincare - Salt Lake City - Salt Lake City, UT",99 East 7200 South,,,,,(801) 750-1825,,http://www.yelp.com/biz/studio112-lashes-and-skincare-salt-lake-city?osq=spa,"Day Spas,Waxing,Eyelash Service",
"Rasa Sara Holistic Beauty - Salt Lake City - Salt Lake City, UT",1441 S 1100 E,,,,,(801) 971-7456,,http://www.yelp.com/biz/rasa-sara-holistic-beauty-salt-lake-city-4?osq=spa,"Skin Care,Spas",
"Oriental Massage - Holladay - Salt Lake City, UT","4655 S 2300 E,Ste 201",,,,,(801) 696-8970,,http://www.yelp.com/biz/oriental-massage-salt-lake-city?osq=spa,"Massage Therapy,Reflexology,Day Spas",
"Akasha Salon and Day Spa - Salt Lake City - Salt Lake City, UT",331 East 400 S,,,,,(801) 364-3330,,http://www.yelp.com/biz/akasha-salon-and-day-spa-salt-lake-city?osq=spa,Day Spas,
"Nectar Massage Therapy - Salt Lake City - Salt Lake City, UT","363 S 500 E,Ste 110",,,,,(801) 349-5414,,http://www.yelp.com/biz/nectar-massage-therapy-salt-lake-city-3?osq=spa,"Spas,Massage,Tanning,Bookstores,Gift Shops,Cards & Stationery,General Dentistry,Cosmetic Dentists,Arts & Crafts,Knitting Supplies,Fitness & Instruction,Cafes,Art Galleries",
"Light Space Healing Center - Salt Lake City - Salt Lake City, UT","400 S 435 W,Ste 101",,,,,(435) 671-2237,,http://www.yelp.com/biz/light-space-healing-center-salt-lake-city?osq=spa,"Massage,Spas",
